ROWNUM;ShortName;AdmArea;District;PostalCode;Address;ChiefName;ChiefPosition;ChiefGender;ChiefPhone;PublicPhone;Fax;Email;CloseFlag;CloseReason;CloseDate;ReopenDate;PaidServicesInfo;FreeServicesInfo;WorkingHours;ClarificationOfWorkingHours;Specialization;BeneficialDrugPrescriptions;ExtraInfo;AddressUNOM;Point X;Point Y;GLOBALID;
1;"ГБУЗ ГП № 22 филиал № 1 ДЗМ";"Юго-Западный административный округ";"район Черёмушки";"117418";"улица Цюрупы, дом 30/63";"Лаврикова Валентина Ивановна";"заведующий филиалом";"женский";"(499) 128-39-56";"(499) 128-39-67";"(499) 128-39-67";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.565885";"55.667544";"84269239";
2;"ГБУЗ ГП № 107 ДЗМ";"Северо-Восточный административный округ";"район Отрадное";"127273";"улица Декабристов, дом 24";"Большакова Елена Викторовна";"главный врач";"женский";"(499) 907-63-24";"(499) 204-09-19; (499) 907-63-77; (499) 204-60-11";"(499) 904-99-90";"info@gp107.mosgorzdrav.ru";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Женская консультация – (499) 904-26-90";"";"37.607985";"55.86149";"84269240";
3;"ГБУЗ ГП № 107 филиал № 1 ДЗМ";"Северо-Восточный административный округ";"район Свиблово";"129323";"Снежная улица, дом 22";"Горбатенко Елена Анатольевна";"заместитель главного врача";"женский";"(499) 180-80-55";"(499) 180-80-25; (499) 180-71-43; (499) 180-71-43";"(499) 180-80-55";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: м. Свиблово, выход из последнего вагона из центра, далее 2 мин. пешком.";"";"37.649613";"55.852336";"84269241";
4;"ГБУЗ ГП № 107 филиал № 2 ДЗМ";"Северо-Восточный административный округ";"район Отрадное";"127566";"улица Бестужевых, дом 15";"Коломиец Алла Николаевна";"заведующий филиалом";"женский";"(499) 201-00-49";"(499) 201-72-29; (499) 201-76-88; (499) 201-72-38";"(499) 201-51-82";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.60518";"55.870842";"84269242";
5;"ГБУЗ ГП № 107 филиал № 3 ДЗМ";"Северо-Восточный административный округ";"район Северное Медведково";"129221";"Полярная улица, дом 28";"Караулова Евгения Евгеньевна";"исполняющий обязанности главного врача";"женский";"(499) 477-05-33";"(499) 477-82-85; (499) 477-73-48";"(499) 477-05-33";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: м. Бабушкинская, далее трамвай № 17 до остановки Поликлиника.";"";"37.640475";"55.881931";"84269243";
6;"ГБУЗ ГП № 107 филиал № 4 ДЗМ";"Северо-Восточный административный округ";"район Отрадное";"127490";"улица Пестеля, дом 6А";"Денисова Марина Сергеевна";"исполняющий обязанности заведующего филиалом";"женский";"(499) 203-39-94";"(499) 203-39-95; (499) 203-35-00; (499) 203-39-92";"(499) 203-39-94";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: м. Отрадное, далее 1 остановка на любом автобусе в сторону м. Ботанический сад; Центр здоровья, тел. (499) 203-39-96";"";"37.618175";"55.864553";"84269244";
7;"ГБУЗ ГП № 109 ДЗМ";"Юго-Восточный административный округ";"район Текстильщики";"109548";"улица Гурьянова, дом 4, корпус 3";"Смирнова Наталья Валерьевна";"исполняющий обязанности главного врача";"женский";"(499) 786-13-35";"(499) 786-13-35";"(499) 786-13-35";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.719892";"55.691904";"84269245";
8;"ГБУЗ ГП № 109 филиал № 1 ДЗМ";"Юго-Восточный административный округ";"район Печатники";"109388";"Шоссейная улица, дом 41";"Хусаинова Алия Завиевна";"главный врач";"женский";"(495) 353-12-16";"(495) 353-12-16";"(495) 353-12-16";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.72464";"55.67792";"84269246";
9;"ГБУЗ ГП № 109 филиал № 2 ДЗМ";"Юго-Восточный административный округ";"район Текстильщики";"109518";"Грайвороновская улица, дом 18, корпус 1";"Вертинский Владислав Викторович";"заведующий филиалом";"мужской";"(499) 173-20-71";"(499) 173-20-71";"(499) 173-20-71";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.735023";"55.719619";"84269247";
10;"ГБУЗ ГКБ № 68 АПЦ ДЗМ";"Юго-Восточный административный округ";"район Текстильщики";"109263";"улица Шкулева, дом 4, корпус 7";"Галь Игорь Геннадиевич";"главный врач";"мужской";"(499) 178-63-80";"(499) 178-63-80";"(499) 178-63-80";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.74826";"55.693234";"84269248";
