region,city,address,installplace,int_cards_support,sbercart,american_express,for_organizations,accepts_money,prints_onepass,access,comments,bank_code,bank_name,org_id,org_name,phone
г. Москва,Андреевка,"Андреевка, стр. 3","ОАО ""НПО ""Стеклопластик""",да,да,да,да,нет,да,24 часа,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,Андреевка,"ул. Жилинская, 1, стр. 1","ООО ""реал-Гипермаркет""",да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
,,,,нет,нет,нет,нет,нет,нет,,,,,,,
г. Москва,г. Зеленоград,1106,"Сбербанк России, Филиал № 7954/1016",да,да,да,да,нет,да,24 часа,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7329652
,г. Зеленоград,1403а,"Сбербанк России, Филиал № 7954/1521",да,да,нет,да,да,да,в режиме работы подразделения,,99,Сбербанк России,sdf,Зеленоградское ОСБ,(499)7299401
г. Москва,г. Зеленоград,1403а,"Сбербанк России, Филиал № 7954/1521",да,да,да,да,нет,да,в режиме работы подразделения,,dsfsdg,Сбербанк России,fds,Зеленоградское ОСБ,(499)7299401
г. Москва,г. Зеленоград,1405,"ТК ""Все для дома""",да,да,да,да,нет,да,в режиме работы организации,,fdsdsf,Сбербанк России,xcv,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,1456,"ТЦ ""Ажур""",да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,sdf,Зеленоградское ОСБ,(495)5000005
,г. Зеленоград,1462,"Сбербанк России, Филиал № 7954/1541",да,да,да,да,да,да,в режиме работы подразделения,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7387988
г. Москва,г. Зеленоград,1561б,"Сбербанк России, Филиал № 7954/1559",да,да,да,да,да,да,в режиме работы подразделения,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7338042
г. Москва,г. Зеленоград,1640,"Сбербанк России, Филиал № 7954/1721",да,да,да,да,да,да,24 часа,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,315,"Сбербанк России, Филиал № 7954/1110",да,да,да,да,да,да,24 часа,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7352760
г. Москва,г. Зеленоград,403а,"Магазин ""Пятерочка""",да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,"406, к. 407","ТД ""Океан""",да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,514,"Магазин ""Покупай"", 5 мкр",да,да,да,да,нет,да,24 часа,Ст. м. Речной вокзал,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,601,"Сбербанк России, Филиал № 7954/1185",да,да,да,да,нет,да,24 часа,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7353527
г. Москва,г. Зеленоград,813а,"Магазин ""Пятерочка""",да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,828,"Сбербанк России, Филиал № 7954/1388",да,да,да,да,да,да,24 часа,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7312617
г. Москва,г. Зеленоград,828,"Сбербанк России, Филиал № 7954/1388",да,нет,да,да,да,да,24 часа,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7312617
г. Москва,г. Зеленоград,"ал. Каштановая,2,стр. 1","""Городская клиническая больница №3""",да,нет,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,"ал. Солнечная,к. 828","Сбербанк России, Филиал № 7954/1388",да,нет,да,да,нет,да,в режиме работы подразделения,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7317568
