ROWNUM;Name;Tunnel;AdmArea;District;Longitude_WGS84;Latitude_WGS84;global_id;
1;"город Зеленоград, корпус 933, к корпусу 933, северный выход";"{ ""global_id"": 1697031, ""value"": ""Тоннель пешеходный «Зеленоград №1»"" }";"Зеленоградский административный округ";"район Силино";"37.17953";"55.983668";"4485707";
2;"город Зеленоград, корпус 1001, сооружение 1, к озеру Школьное, северный выход";"{ ""global_id"": 1697032, ""value"": ""Тоннель пешеходный «Зеленоград №2»"" }";"Зеленоградский административный округ";"район Силино";"37.183507";"55.98875";"4485705";
3;"Волоколамское шоссе, дом 92, сооружение 1, нечетная сторона, западный выход";"{ ""global_id"": 1696973, ""value"": ""Тоннель пешеходный «Метро Тушинская»"" }";"Северо-Западный административный округ";"район Покровское-Стрешнево";"37.434195";"55.824264";"4485703";
4;"Дмитровское шоссе, дом 11, сооружение 1, четная сторона, северный выход";"{ ""global_id"": 1696999, ""value"": ""Тоннель пешеходный «Институт Зерна»"" }";"Северный административный округ";"Тимирязевский район";"37.575895";"55.817357";"4485710";
5;"улица Габричевского, дом 10, корпус 1, нечетная сторона, западный выход";"{ ""global_id"": 1696958, ""value"": ""Тоннель пешеходный «Больница»"" }";"Северо-Западный административный округ";"район Покровское-Стрешнево";"37.46008";"55.816904";"4485701";
6;"город Зеленоград, корпус 1001, сооружение 1, к Панфиловскому проспекту, дом 40, западный выход";"{ ""global_id"": 1697032, ""value"": ""Тоннель пешеходный «Зеленоград №2»"" }";"Зеленоградский административный округ";"район Силино";"37.183647";"55.988293";"4485706";
7;"Волоколамское шоссе, дом 92, сооружение 1, четная сторона, восточный выход";"{ ""global_id"": 1696973, ""value"": ""Тоннель пешеходный «Метро Тушинская»"" }";"Северо-Западный административный округ";"район Покровское-Стрешнево";"37.434769";"55.824502";"4485702";
8;"Дмитровское шоссе, дом 11, сооружение 1, нечетная сторона, южный выход";"{ ""global_id"": 1696999, ""value"": ""Тоннель пешеходный «Институт Зерна»"" }";"Северный административный округ";"Тимирязевский район";"37.575424";"55.817038";"4485709";
9;"Дмитровское шоссе, владение 14, сооружение 2, четная сторона, южный выход";"{ ""global_id"": 1696963, ""value"": ""Тоннель пешеходный «Немчиново»"" }";"Северный административный округ";"Тимирязевский район";"37.573139";"55.825168";"4485708";
10;"Гончарный проезд, дом 6, сооружение 1, четная сторона, северный выход";"{ ""global_id"": 1696939, ""value"": ""Тоннель пешеходный «Краснохолмский»"" }";"Центральный административный округ";"Таганский район";"37.649516";"55.739066";"4485704";
