ROWNUM;NAME;ADDRESS;X;Y;OPLATA;MESTO;VHOD;VNUTR;UNIVERS_USLUGA;GLOBALID;
1;"Школа";"Седова ул. 4 корп.1 стр. школа";"37,642047";"55,852826";"Карты";"Школа";"Нет";"Да";"Нет";"90827100";
2;"Ул.Кабина";"Северный пос. 19 корп. стр. 9-я линия, торг.центр";"36,837164";"55,944817";"Карты";"Ул.Кабина";"Да";"Нет";"Да";"90827101";
3;"Гостиница";"""Барвиха"" СП корп. стр. Горки 10, пансионат"" Лесные дали"", главный корпус";"36,974648";"55,711261";"Карты";"Гостиница";"Нет";"Да";"Нет";"90827102";
4;"Гостиница";"""Барвиха"" СП корп. стр. Горки 10, пансионат ""Лесные Дали"", корп.6, холл";"36,974648";"55,711261";"Карты";"Гостиница";"Нет";"Да";"Нет";"90827103";
5;"Больница";"корп. стр. с. Успенское ЦКБ МО РАН, кор.2, 1 этаж, у лифта";"37,068876";"55,717215";"Карты";"Больница";"Нет";"Да";"Нет";"90827104";
6;"Больница";"корп. стр. с. Успенское ЦКБ МО РАН, кор.2, между 1 и 2 этажом";"37,068876";"55,717215";"Карты";"Больница";"Нет";"Да";"Нет";"90827105";
7;"Больница";"корп. стр. с. Успенское ЦКБ МО РАН, кор.2, между 3 и 4 этажом";"37,068876";"55,717215";"Карты";"Больница";"Нет";"Да";"Нет";"90827106";
8;"Ул.Кабина";"Нет улицы корп. стр. Дер.Тимошкино";"37,102756";"55,771322";"Карты";"Ул.Кабина";"Нет";"Да";"Нет";"90827107";
9;"Ул.Кабина";"Совхозная ул. 111 корп. стр. С.Дмитровское";"37,120732";"55,751346";"Карты";"Ул.Кабина";"Нет";"Да";"Нет";"90827108";
10;"Ул.Кабина";"корп. стр. Грибаново дер.";"37,12161";"55,746019";"Карты";"Ул.Кабина";"Нет";"Да";"Нет";"90827109";
11;"Следственный изолятор";"Панфилова ул. (Зеленоград) 21 корп. стр. колония УУ163/2";"37,169561";"55,98733";"Карты";"Следственный изолятор";"Нет";"Нет";"Нет";"90827110";
12;"Следственный изолятор";"Панфилова ул. (Зеленоград) 21 корп. стр. колония-поселение";"37,169692";"55,987385";"Карты";"Следственный изолятор";"Нет";"Нет";"Нет";"90827111";
13;"Следственный изолятор";"Панфилова ул. (Зеленоград) 21 корп. стр.";"37,169485";"55,986757";"Карты";"Следственный изолятор";"Нет";"Нет";"Нет";"90827112";
14;"Следственный изолятор";"Панфилова ул. (Зеленоград) 21 корп. стр. Колония поселение №2";"37,169548";"55,987318";"Карты";"Следственный изолятор";"Нет";"Нет";"Нет";"90827113";
15;"Вуз";"Зеленоград корп.1140 стр. ВУЗ";"37,171746";"55,99398";"Карты";"Вуз";"Нет";"Да";"Нет";"90827114";
16;"Ул.Кабина";"Первого мая ул. (Зеленоград) корп. стр.";"37,172613";"55,978591";"Карты";"Ул.Кабина";"Да";"Нет";"Да";"90827115";
17;"Организация";"Панфилова ул. (Зеленоград) корп.830 стр. УСЗН Панфиловского р-на ЗАО";"37,17978";"55,981567";"Карты";"Организация";"Нет";"Да";"Нет";"90827116";
18;"Ул.Кабина";"Зеленоград корп.813 стр.8";"37,193426";"55,980119";"Карты";"Ул.Кабина";"Да";"Нет";"Да";"90827117";
19;"Ул.Кабина";"Зеленоград корп.1104 стр.";"37,188524";"55,995095";"Карты";"Ул.Кабина";"Да";"Нет";"Да";"90827118";
