ROWNUM;FullName;ShortName;PostalCode;AdmArea;District;Address;AddressExtraInfo;ChiefPhone;DeliveryDepartmentPhone;TelegraphPhone;WorkingHours;WorkingHoursExtraInfo;ClassOPS;TypeOPS;MMP;CloseFlag;CloseExtraInfo;UNOM;X_WGS84;Y_WGS84;GLOBALID;
1;"Отделение почтовой связи № 101000";"ОПС № 101000";"101000";"Центральный административный округ";"Басманный район";"Мясницкая улица, дом 26";"";"(495) 625-37-48; (495) 625-04-27";"(495) 623-18-88; (495) 624-96-28";"(495) 624-15-66; (495) 624-04-63";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"без перерыва на обед";"1";"доставочное";"Московский межрайонный почтамт № 3";"действует";"";"";"37,637168";"55,763861";"89092916";
2;"Отделение почтовой связи № 1-123001";"ОПС № 1-123001";"123001";"Центральный административный округ";"Пресненский район";"улица Спиридоновка, дом 27/24";"";"(495) 690-66-01";"(495) 690-48-29";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье выходной";"обед 13:00-14:00";"3";"доставочное";"Московский межрайонный почтамт № 4";"действует";"";"22507";"37,588373";"55,763037";"89092917";
3;"Отделение почтовой связи № 2-119002";"ОПС № 2-119002";"119002";"Центральный административный округ";"район Арбат";"улица Арбат, дом 47";"";"(499) 241-75-56";"(499) 241-34-64";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-14:00";"без перерыва на обед";"2";"доставочное";"Московский межрайонный почтамт № 6";"действует";"";"";"37,587558";"55,748001";"89092918";
4;"Отделение почтовой связи № 4-109004";"ОПС № 4-109004";"109004";"Центральный административный округ";"Таганский район";"улица Александра Солженицына, дом 24/28";"";"(495) 912-68-80";"(495) 911-36-08";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье выходной";"обед 13:00-14:00";"3";"доставочное";"Московский межрайонный почтамт № 9";"действует";"";"";"37,662662";"55,743727";"89092919";
5;"Отделение почтовой связи № 5-105005";"ОПС № 5-105005";"105005";"Центральный административный округ";"Басманный район";"Бауманская улица, дом 38";"";"(499) 261-26-27";"(499) 261-15-21";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье выходной";"обед 13:00-14:00";"3";"доставочное";"Московский межрайонный почтамт № 1";"действует";"";"";"37,677749";"55,771255";"89092920";
6;"Отделение почтовой связи № 6-127006";"ОПС № 6-127006";"127006";"Центральный административный округ";"Тверской район";"Садовая-Каретная улица, дом 10/5";"";"(495) 650-09-97";"(495) 650-09-31";"(495) 650-10-51";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье выходной";"обед 13:00-14:00";"3";"доставочное";"Московский межрайонный почтамт № 3";"действует";"";"";"37,608139";"55,772317";"89092921";
7;"Отделение почтовой связи № 7-123007";"ОПС № 7-123007";"123007";"Северный административный округ";"Хорошёвский район";"Хорошёвское шоссе, дом 11";"";"(495) 941-24-13";"(495) 941-34-53";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье выходной";"обед 13:00-14:00";"3";"доставочное";"Московский межрайонный почтамт № 4";"действует";"";"28069";"37,534226";"55,775343";"89092922";
8;"Отделение почтовой связи № 8-125008";"ОПС № 8-125008";"125008";"Северный административный округ";"район Коптево";"Михалковская улица, дом 2";"";"(499) 154-43-96";"(499) 154-41-66";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье выходной";"без перерыва на обед";"3";"доставочное";"Московский межрайонный почтамт № 4";"действует";"";"14722";"37,539191";"55,837483";"89092923";
9;"Отделение почтовой связи № 9-125009";"ОПС № 9-125009";"125009";"Центральный административный округ";"Тверской район";"Тверская улица, дом 7";"";"(495) 692-35-71";"(495) 699-90-08";"(495) 629-13-43";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 09:00-18:00; воскресенье 09:00-14:00";"без перерыва на обед";"3";"доставочное";"Московский межрайонный почтамт № 4";"действует";"";"2117665";"37,610976";"55,757888";"89092924";
10;"Отделение почтовой связи № 12-109012";"ОПС № 12-109012";"109012";"Центральный административный округ";"Тверской район";"Никольская улица, дом 7";"";"(495) 698-32-61";"(495) 698-34-37";"(495) 698-35-13";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-14:00";"без перерыва на обед";"2";"доставочное";"Московский межрайонный почтамт № 9";"действует";"";"";"37,620389";"55,756508";"89092925";
