ROWNUM;Name;AdmArea;District;Address;LocationDescription;Longitude_WGS84;Latitude_WGS84;CarCapacity;Mode;global_id;
1;"Парковка такси по адресу площадь Курского Вокзала, дом 33";"Центральный административный округ";"Басманный район";"площадь Курского Вокзала, дом 33";"площадь Курского вокзала, напротив входа на вокзал";"37.6603925228118";"55.7569450933552";"20";"круглосуточно";"1704689";
2;"Парковка такси по адресу улица Маршала Василевского, дом 15";"Северо-Западный административный округ";"район Щукино";"улица Маршала Василевского, дом 15";"В заездном кармане";"37.4660289287567";"55.807539921555";"3";"круглосуточно";"1704695";
3;"Парковка такси по адресу Краснодарская улица, дом 54";"Юго-Восточный административный округ";"район Люблино";"Краснодарская улица, дом 54";"Станция метро «Волжская»";"37.7553158998489";"55.6903224689669";"4";"круглосуточно";"1704693";
4;"Парковка такси по адресу 1-я улица Машиностроения, дом 7";"Юго-Восточный административный округ";"Южнопортовый район";"1-я улица Машиностроения, дом 7";"";"37.6756140589714";"55.7152588375062";"3";"круглосуточно";"1704690";
5;"Парковка такси по адресу Карачаровское шоссе, дом 15";"Юго-Восточный административный округ";"Нижегородский район";"Карачаровское шоссе, дом 15";"";"37.7630192041397";"55.7356914963956";"4";"круглосуточно";"1704691";
6;"Парковка такси по адресу улица Маршала Бирюзова, дом 32";"Северо-Западный административный округ";"район Щукино";"улица Маршала Бирюзова, дом 32";"ТЦ «Пятая авеню», в кармане после остановки Мосгортранса «52-я городская больница»";"37.4826049804687";"55.7993632879145";"4";"круглосуточно";"1704694";
7;"Парковка такси по адресу Строгинский бульвар, дом 30";"Северо-Западный административный округ";"район Строгино";"Строгинский бульвар, дом 30";"У выхода из станции метро «Строгино», восточный вестибюль в сторону Строгинского бульвара, дома 30, после автобусной остановки";"37.4060869216918";"55.8028186678313";"3";"круглосуточно";"1704696";
8;"Парковка такси по адресу Строгинский бульвар, дом 9";"Северо-Западный административный округ";"район Строгино";"Строгинский бульвар, дом 9";"У выхода из станции метро «Строгино», западный вестибюль в сторону Строгинского бульвара, дома 9, перед автобусной остановкой";"37.4018543958663";"55.8042447518178";"4";"круглосуточно";"1704698";
9;"Парковка такси по адресу улица Маршала Катукова, дом 25";"Северо-Западный административный округ";"район Строгино";"улица Маршала Катукова, дом 25";"";"37.4143213033676";"55.8052667967899";"3";"круглосуточно";"1704699";
10;"Парковка такси по адресу Строгинский бульвар, дом 12";"Северо-Западный административный округ";"район Строгино";"Строгинский бульвар, дом 12";"У выхода из станции метро «Строгино», западный вестибюль в сторону Строгинского бульвара, дома 30, перед автобусной остановкой";"37.3984318971633";"55.8044346914088";"4";"круглосуточно";"1704697";
11;"Парковка такси по адресу Тихорецкий бульвар, дом 1 (1)";"Юго-Восточный административный округ";"район Люблино";"Тихорецкий бульвар, дом 1";"ТЦ «Москва»";"37.7767521142959";"55.6731317657381";"5";"круглосуточно";"1704692";
12;"Парковка такси по адресу улица Героев Панфиловцев, дом 28";"Северо-Западный административный округ";"район Северное Тушино";"улица Героев Панфиловцев, дом 28";"На парковке Тушинской городской детской больницы";"37.4071812629699";"55.8526312769008";"3";"круглосуточно";"1704705";
13;"Парковка такси по адресу Планерная улица, дом 12, корпус 1";"Северо-Западный административный округ";"район Северное Тушино";"Планерная улица, дом 12, корпус 1";"У выхода из станции метро «Планерная»";"37.4363422393798";"55.8617510506298";"3";"круглосуточно";"1704706";
14;"Парковка такси по адресу Пятницкое шоссе, дом 43";"Северо-Западный административный округ";"район Митино";"Пятницкое шоссе, дом 43";"Дублер, на парковке ТЦ";"37.3506724834442";"55.8577860637298";"3";"круглосуточно";"1704703";
15;"Парковка такси по адресу Митинская улица, дом 36, корпус 1";"Северо-Западный административный округ";"район Митино";"Митинская улица, дом 36, корпус 1";"ТЦ «Ковчег», на проезжей части перед остановкой Мосгортранса, станция метро «Митино»";"37.3609560728073";"55.8466656846962";"4";"круглосуточно";"1704701";
16;"Парковка такси по адресу улица Свободы, дом 71";"Северо-Западный административный округ";"район Северное Тушино";"улица Свободы, дом 71";"улица Свободы, у входа в парк культуры и отдыха «Северное Тушино»";"37.4493294954299";"55.8602518093103";"2";"круглосуточно";"1704707";
17;"Парковка такси по адресу Новотушинский проезд, дом 6, корпус 1";"Северо-Западный административный округ";"район Митино";"Новотушинский проезд, дом 6, корпус 1";"Выход из станции метро «Волоколамская», перед остановкой Мосгортранса «станция метро Волоколамская», напротив Новотушинского проезда, дома 6, корпуса 1";"37.3821079730987";"55.8368555499699";"4";"круглосуточно";"1704704";
18;"Парковка такси по адресу Ангелов переулок, дом 1, корпус 1";"Северо-Западный административный округ";"район Митино";"Ангелов переулок, дом 1, корпус 1";"ТЦ «КУБ» в кармане перед рестораном «Мануфактура»";"37.3509514331817";"55.8528601254003";"3";"круглосуточно";"1704702";
19;"Парковка такси по адресу Дубравная улица, дом 34/29";"Северо-Западный административный округ";"район Митино";"Дубравная улица, дом 34/29";"Станция метро «Митино», ТЦ «Ладья», на проезжей части перед остановкой Мосгортранса станция метро «Митино»";"37.3595076799392";"55.8462771817672";"4";"круглосуточно";"1704700";
20;"Парковка такси по адресу улица Героев Панфиловцев, дом 1А";"Северо-Западный административный округ";"район Южное Тушино";"улица Героев Панфиловцев, дом 1А";"";"37.4390405416488";"55.8504872623464";"3";"круглосуточно";"1704709";
