ROWNUM;Name;AdmArea;District;Location;Longitude_WGS84;Latitude_WGS84;Material;global_id;
1;"Искусственная дорожная неровность по адресу 8-я Северная линия, дом 15";"Северо-Восточный административный округ";"район Северный";"8-я Северная линия, дом 15";"37.5477599727986";"55.9365301439515";"пластик";"1711194";
2;"Искусственная дорожная неровность по адресу Волжский бульвар, дом 12";"Юго-Восточный административный округ";"район Кузьминки";"Волжский бульвар, дом 12";"37.7437355593247";"55.7138323684295";"пластик";"1711191";
3;"Искусственная дорожная неровность по адресу улица Коминтерна, дом 46";"Северо-Восточный административный округ";"Бабушкинский район";"улица Коминтерна, дом 46";"37.6904440974457";"55.8712946238895";"пластик";"1711192";
4;"Искусственная дорожная неровность по адресу 1-я Напрудная улица, дом 15";"Северо-Восточный административный округ";"Лосиноостровский район";"1-я Напрудная улица, дом 15";"37.6926884375718";"55.8799085288861";"пластик";"1711193";
5;"Искусственная дорожная неровность по адресу Никольский проезд, дом 5";"Зеленоградский административный округ";"район Савёлки";"Никольский проезд, дом 5";"37.2471886221612";"55.9922182761514";"пластик";"1711196";
6;"Искусственная дорожная неровность по адресу Типографская улица, дом 5А";"Юго-Западный административный округ";"район Южное Бутово";"Типографская улица, дом 5А";"37.5887179206612";"55.5086920769319";"пластик";"1711198";
7;"Искусственная дорожная неровность 1 по адресу Часовая улица, дом 19А";"Северный административный округ";"район Аэропорт";"Часовая улица, дом 19А";"37.5248220498724";"55.8098996444433";"пластик";"1711197";
8;"Искусственная дорожная неровность по адресу 1-я Северная линия, дом 12";"Северо-Восточный административный округ";"район Северный";"1-я Северная линия, дом 12";"37.554870174205";"55.9437201705896";"пластик";"1711195";
9;"Искусственная дорожная неровность по адресу Джанкойская улица, дом 2, корпус 1";"Юго-Западный административный округ";"район Южное Бутово";"Джанкойская улица, дом 2, корпус 1";"37.5754113470374";"55.540435478794";"асфальт";"1711200";
10;"Искусственная дорожная неровность по адресу 1-я Мелитопольская улица, дом 8";"Юго-Западный административный округ";"район Южное Бутово";"1-я Мелитопольская улица, дом 8";"37.5785171769109";"55.5401800953823";"асфальт";"1711199";
11;"Искусственная дорожная неровность по адресу улица Академика Глушко, дом 12";"Юго-Западный административный округ";"район Северное Бутово";"улица Академика Глушко, дом 12";"37.565098924731";"55.5650914260107";"пластик";"1711203";
12;"Искусственная дорожная неровность по адресу Михневская улица, дом 17";"Южный административный округ";"район Бирюлёво Восточное";"Михневская улица, дом 17";"37.6638214828534";"55.5793989105726";"пластик";"1711208";
13;"Искусственная дорожная неровность по адресу Старобитцевская улица, дом 17, корпус 1";"Юго-Западный административный округ";"район Северное Бутово";"Старобитцевская улица, дом 17, корпус 1";"37.5828673872518";"55.5767387878836";"пластик";"1711206";
14;"Искусственная дорожная неровность по адресу Варшавское шоссе, дом 143, корпус 6";"Южный административный округ";"район Чертаново Южное";"Варшавское шоссе, дом 143, корпус 6";"37.5985340013153";"55.5807303733056";"пластик";"1711210";
15;"Искусственная дорожная неровность по адресу Куликовская улица, дом 1Б";"Юго-Западный административный округ";"район Северное Бутово";"Куликовская улица, дом 1Б";"37.5643970251854";"55.5718721157284";"пластик";"1711204";
16;"Искусственная дорожная неровность по адресу Большая Бутовская улица, дом 9";"Юго-Западный административный округ";"район Южное Бутово";"Большая Бутовская улица, дом 9";"37.5808374561195";"55.5444579146619";"пластик";"1711201";
17;"Искусственная дорожная неровность по адресу улица Адмирала Лазарева, дом 13";"Юго-Западный административный округ";"район Южное Бутово";"улица Адмирала Лазарева, дом 13";"37.538047673611";"55.5457419051294";"пластик";"1711202";
18;"Искусственная дорожная неровность по адресу Булатниковский проезд, дом 16";"Южный административный округ";"район Бирюлёво Западное";"Булатниковский проезд, дом 16";"37.6598293499679";"55.5778679694693";"пластик";"1711207";
19;"Искусственная дорожная неровность по адресу Ратная улица, дом 8, корпус 3";"Юго-Западный административный округ";"район Северное Бутово";"Ратная улица, дом 8, корпус 3";"37.5802199236504";"55.5733580730463";"пластик";"1711205";
20;"Искусственная дорожная неровность по адресу Булатниковская улица, дом 7";"Южный административный округ";"район Бирюлёво Западное";"Булатниковская улица, дом 7";"37.6516682256803";"55.5800250963551";"пластик";"1711209";
21;"Искусственная дорожная неровность по адресу Весёлая улица, дом 12";"Южный административный округ";"район Царицыно";"Весёлая улица, дом 12";"37.6630030754088";"55.6239969155094";"пластик";"1711212";
22;"Искусственная дорожная неровность по адресу Днепропетровская улица, дом 13";"Южный административный округ";"район Чертаново Центральное";"Днепропетровская улица, дом 13";"37.5920348438466";"55.6240139906634";"пластик";"1711213";
23;"Искусственная дорожная неровность по адресу Булатниковский проезд, дом 14, корпус 3";"Южный административный округ";"район Бирюлёво Западное";"Булатниковский проезд, дом 14, корпус 3";"37.6588288872528";"55.5828307491879";"пластик";"1711217";
24;"Искусственная дорожная неровность по адресу улица Академика Капицы, дом 11";"Юго-Западный административный округ";"район Ясенево";"улица Академика Капицы, дом 11";"37.5243179521659";"55.6253841489984";"пластик";"1711215";
25;"Искусственная дорожная неровность по адресу Медынская улица, дом 12, корпус 1";"Южный административный округ";"район Бирюлёво Западное";"Медынская улица, дом 12, корпус 1";"37.6467673274089";"55.5845699135767";"пластик";"1711218";
26;"Искусственная дорожная неровность по адресу Днепропетровская улица, дом 15";"Южный административный округ";"район Чертаново Центральное";"Днепропетровская улица, дом 15";"37.5910156054438";"55.6241148193848";"пластик";"1711214";
27;"Искусственная дорожная неровность по адресу улица Мусы Джалиля, дом 16";"Южный административный округ";"район Зябликово";"улица Мусы Джалиля, дом 16";"37.7426229401498";"55.6239924596868";"пластик";"1711211";
28;"Искусственная дорожная неровность по адресу Лебедянская улица, дом 14, корпус 1";"Южный административный округ";"район Бирюлёво Восточное";"Лебедянская улица, дом 14, корпус 1";"37.6742499109008";"55.5865790305798";"пластик";"1711220";
29;"Искусственная дорожная неровность по адресу Бирюлёвская улица, дом 52, корпус 1";"Южный административный округ";"район Бирюлёво Восточное";"Бирюлёвская улица, дом 52, корпус 1";"37.6674194987727";"55.5851079047312";"пластик";"1711219";
30;"Искусственная дорожная неровность по адресу Борисовский проезд, дом 20";"Южный административный округ";"район Орехово-Борисово Северное";"Борисовский проезд, дом 20";"37.7264106642299";"55.6256708883571";"пластик";"1711216";
31;"Искусственная дорожная неровность по адресу Медынская улица, дом 7, строение 1";"Южный административный округ";"район Бирюлёво Западное";"Медынская улица, дом 7, строение 1";"37.647996449093";"55.5870420795992";"пластик";"1711222";
32;"Искусственная дорожная неровность по адресу Ряжская улица, дом 13, корпус 2";"Южный административный округ";"район Бирюлёво Восточное";"Ряжская улица, дом 13, корпус 2";"37.6689569078893";"55.5899564090187";"пластик";"1711225";
33;"Искусственная дорожная неровность по адресу Педагогическая улица, дом 3";"Южный административный округ";"район Бирюлёво Восточное";"Педагогическая улица, дом 3";"37.6663094002705";"55.5956238983792";"пластик";"1711227";
34;"Искусственная дорожная неровность по адресу Лебедянская улица, дом 12, корпус 1";"Южный административный округ";"район Бирюлёво Восточное";"Лебедянская улица, дом 12, корпус 1";"37.670929336962";"55.5868068999029";"асфальт";"1711221";
35;"Искусственная дорожная неровность по адресу улица Газопровод, дом 11, корпус 1";"Южный административный округ";"район Чертаново Южное";"улица Газопровод, дом 11, корпус 1";"37.6100827551844";"55.5891273048065";"пластик";"1711223";
36;"Искусственная дорожная неровность по адресу Кировоградская улица, дом 25, корпус 2";"Южный административный округ";"район Чертаново Южное";"Кировоградская улица, дом 25, корпус 2";"37.5966402484918";"55.5967301082107";"пластик";"1711229";
37;"Искусственная дорожная неровность по адресу улица Академика Янгеля, дом 4, корпус 2";"Южный административный округ";"район Чертаново Южное";"улица Академика Янгеля, дом 4, корпус 2";"37.594181487694";"55.5956351102041";"пластик";"1711228";
38;"Искусственная дорожная неровность по адресу Варшавское шоссе, дом 152, корпус 2";"Южный административный округ";"район Чертаново Южное";"Варшавское шоссе, дом 152, корпус 2";"37.5984185004276";"55.5893103490054";"пластик";"1711224";
39;"Искусственная дорожная неровность по адресу улица Газопровод, дом 11, корпус 2";"Южный административный округ";"район Чертаново Южное";"улица Газопровод, дом 11, корпус 2";"37.6079242490837";"55.5909934042734";"пластик";"1711226";
40;"Искусственная дорожная неровность по адресу Дорожная улица, дом 26";"Южный административный округ";"район Чертаново Южное";"Дорожная улица, дом 26";"37.6197990581632";"55.5971675262332";"пластик";"1711230";
41;"Искусственная дорожная неровность по адресу улица Генерала Белова, дом 55";"Южный административный округ";"район Орехово-Борисово Южное";"улица Генерала Белова, дом 55";"37.7258877998188";"55.6038326633629";"пластик";"1711236";
42;"Искусственная дорожная неровность по адресу Домодедовская улица, дом 29";"Южный административный округ";"район Орехово-Борисово Южное";"Домодедовская улица, дом 29";"37.7137318611745";"55.6040720108522";"пластик";"1711237";
