ROWNUM;Name;OPOPNumber;AdmArea;District;Address;PublicPhone;ExtraInfo;X_WGS;Y_WGS;GLOBALID;
1;"Общественный пункт охраны порядка Восточного административного округа № 23";"23";"Восточный административный округ";"район Гольяново";"Щёлковское шоссе, дом 19";"(499) 367-49-82";"";"";"";"90543466";
2;"Общественный пункт охраны порядка Восточного административного округа № 24";"24";"Восточный административный округ";"район Гольяново";"Амурская улица, дом 62";"(495) 462-21-72";"";"";"";"90543467";
3;"Общественный пункт охраны порядка Восточного административного округа № 25";"25";"Восточный административный округ";"район Гольяново";"Уральская улица, дом 15";"(495) 462-21-14";"";"";"";"90543468";
4;"Общественный пункт охраны порядка Восточного административного округа № 26";"26";"Восточный административный округ";"район Гольяново";"Щёлковское шоссе, дом 77";"(495) 468-02-14";"";"";"";"90543469";
5;"Общественный пункт охраны порядка Восточного административного округа № 27";"27";"Восточный административный округ";"район Гольяново";"Байкальская улица, дом 44, корпус 1";"(495) 467-96-22";"";"";"";"90543470";
6;"Общественный пункт охраны порядка Восточного административного округа № 28";"28";"Восточный административный округ";"район Гольяново";"Хабаровская улица, дом 23, корпус 2";"(495) 467-22-10";"";"";"";"90543471";
7;"Общественный пункт охраны порядка Восточного административного округа № 29";"29";"Восточный административный округ";"район Гольяново";"Уссурийская улица, дом 5, корпус 1";"(495) 467-99-04";"";"";"";"90543472";
8;"Общественный пункт охраны порядка Восточного административного округа № 30";"30";"Восточный административный округ";"район Гольяново";"Красноярская улица, дом 13";"(499) 780-13-50";"";"";"";"90543473";
9;"Общественный пункт охраны порядка Восточного административного округа № 31";"31";"Восточный административный округ";"район Гольяново";"Байкальская улица, дом 45";"(495) 467-35-29";"";"";"";"90543474";
10;"Общественный пункт охраны порядка Восточного административного округа № 32";"32";"Восточный административный округ";"район Гольяново";"Байкальская улица, дом 29";"(495) 466-84-10";"";"";"";"90543475";
11;"Общественный пункт охраны порядка Восточного административного округа № 33";"33";"Восточный административный округ";"район Гольяново";"Красноярская улица, дом 1";"(495) 460-24-87";"";"";"";"90543476";
12;"Общественный пункт охраны порядка Восточного административного округа № 34";"34";"Восточный административный округ";"район Гольяново";"Алтайская улица, дом 18";"(495) 466-41-33";"";"";"";"90543477";
13;"Общественный пункт охраны порядка Восточного административного округа № 35";"35";"Восточный административный округ";"район Ивановское";"улица Молостовых, дом 13, корпус 2";"(495) 303-74-94";"";"";"";"90543478";
14;"Общественный пункт охраны порядка Восточного административного округа № 36";"36";"Восточный административный округ";"район Ивановское";"улица Сталеваров";"(495) 652-18-91";"";"";"";"90543479";
15;"Общественный пункт охраны порядка Восточного административного округа № 38";"38";"Восточный административный округ";"район Ивановское";"Челябинская улица, дом 8";"(495) 307-83-46";"";"";"";"90543480";
16;"Общественный пункт охраны порядка Восточного административного округа № 37";"37";"Восточный административный округ";"район Ивановское";"шоссе Энтузиастов, дом 98А";"(499) 748-56-09; (495) 918-93-50";"";"";"";"90543481";
17;"Общественный пункт охраны порядка Восточного административного округа № 39";"39";"Восточный административный округ";"район Ивановское";"Саянская улица, дом 11, корпус 2";"(495) 307-83-46";"";"";"";"90543482";
18;"Общественный пункт охраны порядка Восточного административного округа № 40";"40";"Восточный административный округ";"район Ивановское";"Саянская улица, дом 10";"(495) 305-85-01";"";"";"";"90543483";
19;"Общественный пункт охраны порядка Восточного административного округа № 41";"41";"Восточный административный округ";"район Ивановское";"Федеративный проспект, дом 48, корпус 1";"(495) 303-52-35";"";"";"";"90543484";
20;"Общественный пункт охраны порядка Восточного административного округа № 42";"42";"Восточный административный округ";"район Ивановское";"улица Чечулина, дом 10";"(495) 308-95-05";"";"";"";"90543485";
21;"Общественный пункт охраны порядка Восточного административного округа № 43";"43";"Восточный административный округ";"район Измайлово";"3-я Парковая улица, дом 22А";"(499) 367-49-82";"";"";"";"90543486";
22;"Общественный пункт охраны порядка Восточного административного округа № 44";"44";"Восточный административный округ";"район Измайлово";"Заводской проезд, дом 25";"(499) 165-37-56";"";"";"";"90543487";
23;"Общественный пункт охраны порядка Восточного административного округа № 45";"45";"Восточный административный округ";"район Измайлово";"Измайловский бульвар";"(499) 367-45-72";"";"";"";"90543488";
24;"Общественный пункт охраны порядка Восточного административного округа № 46";"46";"Восточный административный округ";"район Измайлово";"Верхняя Первомайская улица, дом 16";"(499) 164-38-42";"";"";"";"90543489";
25;"Общественный пункт охраны порядка Восточного административного округа № 47";"47";"Восточный административный округ";"район Измайлово";"Верхняя Первомайская улица, дом 23А";"(499) 164-99-63";"";"";"";"90543490";
26;"Общественный пункт охраны порядка Восточного административного округа № 48";"48";"Восточный административный округ";"район Измайлово";"Измайловский проезд, дом 20, корпус 3";"(499) 164-48-80";"";"";"";"90543491";
27;"Общественный пункт охраны порядка Восточного административного округа № 49";"49";"Восточный административный округ";"район Измайлово";"Первомайская улица, дом 19";"(499) 166-67-27";"";"";"";"90543492";
28;"Общественный пункт охраны порядка Восточного административного округа № 50";"50";"Восточный административный округ";"район Измайлово";"2-я Прядильная улица, дом 5";"(499) 652-04-83";"";"";"";"90543493";
29;"Общественный пункт охраны порядка Восточного административного округа № 51";"51";"Восточный административный округ";"район Косино-Ухтомский";"Святоозерская улица, дом 11";"(499) 721-94-20";"";"";"";"90543494";
30;"Общественный пункт охраны порядка Восточного административного округа № 52";"52";"Восточный административный округ";"район Косино-Ухтомский";"улица Руднёвка, дом 22";"(499) 721-94-30";"";"";"";"90543495";
31;"Общественный пункт охраны порядка Восточного административного округа № 53";"53";"Восточный административный округ";"район Метрогородок";"Открытое шоссе, дом 17, корпус 9";"(499) 167-85-10";"";"";"";"90543496";
32;"Общественный пункт охраны порядка Восточного административного округа № 54";"54";"Восточный административный округ";"район Метрогородок";"Открытое шоссе, дом 24, корпус 13";"(499) 167-24-30";"";"";"";"90543497";
33;"Общественный пункт охраны порядка Восточного административного округа № 55";"55";"Восточный административный округ";"район Метрогородок";"Открытое шоссе, дом 27, корпус 8";"(499) 167-44-74";"";"";"";"90543498";
34;"Общественный пункт охраны порядка Восточного административного округа № 56";"56";"Восточный административный округ";"район Новогиреево";"Братская улица, дом 21, корпус 1";"(495) 309-17-55";"";"";"";"90543499";
35;"Общественный пункт охраны порядка Восточного административного округа № 57";"57";"Восточный административный округ";"район Новогиреево";"Зелёный проспект, дом 50/11";"(499) 748-41-25";"";"";"";"90543500";
36;"Общественный пункт охраны порядка Восточного административного округа № 58";"58";"Восточный административный округ";"район Новогиреево";"Сапёрный проезд, дом 11";"(499) 748-42-75";"";"";"";"90543501";
37;"Общественный пункт охраны порядка Восточного административного округа № 59";"59";"Восточный административный округ";"район Новогиреево";"Свободный проспект, дом 37, корпус 2";"(495) 302-73-02";"";"";"";"90543502";
38;"Общественный пункт охраны порядка Восточного административного округа № 60";"60";"Восточный административный округ";"район Новогиреево";"Мартеновская улица, дом 31";"(499) 748-42-25";"";"";"";"90543503";
39;"Общественный пункт охраны порядка Восточного административного округа № 61";"61";"Восточный административный округ";"район Новогиреево";"Кусковская улица, дом 17";"(499) 785-77-45";"";"";"";"90543504";
40;"Общественный пункт охраны порядка Восточного административного округа № 62";"62";"Восточный административный округ";"район Новокосино";"Новокосинская улица, дом 6к 1";"(499) 746-60-67";"";"";"";"90543505";
41;"Общественный пункт охраны порядка Восточного административного округа № 63";"63";"Восточный административный округ";"район Новокосино";"Салтыковская улица, дом 29А";"(495) 701-14-27";"";"";"";"90543506";
42;"Общественный пункт охраны порядка Восточного административного округа № 64";"64";"Восточный административный округ";"район Новокосино";"Городецкая улица, дом 8, корпус 1";"(495) 703-71-74";"";"";"";"90543507";
43;"Общественный пункт охраны порядка Восточного административного округа № 65";"65";"Восточный административный округ";"район Новокосино";"Новокосинская улица, дом 23";"(495) 701-12-93";"";"";"";"90543508";
44;"Общественный пункт охраны порядка Восточного административного округа № 66";"66";"Восточный административный округ";"район Новокосино";"Салтыковская улица, дом 11, корпус 1";"(499) 746-60-63";"";"";"";"90543509";
45;"Общественный пункт охраны порядка Восточного административного округа № 67";"67";"Восточный административный округ";"район Новокосино";"Суздальская улица, дом 10, корпус 3";"(495) 703-71-47";"";"";"";"90543510";
46;"Общественный пункт охраны порядка Восточного административного округа № 68";"68";"Восточный административный округ";"район Новокосино";"Суздальская улица, дом 28";"(499) 746-60-65";"";"";"";"90543511";
47;"Общественный пункт охраны порядка Восточного административного округа № 69";"69";"Восточный административный округ";"район Перово";"3-я Владимирская улица, дом 12, корпус 2";"(495) 672-03-70";"";"";"";"90543512";
48;"Общественный пункт охраны порядка Восточного административного округа № 70";"70";"Восточный административный округ";"район Перово";"2-я Владимирская улица, дом 5";"(499) 785-13-56";"";"";"";"90543513";
49;"Общественный пункт охраны порядка Восточного административного округа № 71";"71";"Восточный административный округ";"район Перово";"Федеративный проспект, дом 5, корпус 1";"(495) 304-20-30";"";"";"";"90543514";
50;"Общественный пункт охраны порядка Восточного административного округа № 73";"73";"Восточный административный округ";"район Перово";"улица Плеханова, дом 26, корпус 4";"(499) 785-13-25";"";"";"";"90543515";
51;"Общественный пункт охраны порядка Восточного административного округа № 72";"72";"Восточный административный округ";"район Перово";"шоссе Энтузиастов, дом 82/2";"(499) 748-78-20";"";"";"";"90543516";
52;"Общественный пункт охраны порядка Восточного административного округа № 74";"74";"Восточный административный округ";"район Перово";"улица Плющева, дом 18, корпус 2";"(495) 309-42-35";"";"";"";"90543517";
53;"Общественный пункт охраны порядка Восточного административного округа № 75";"75";"Восточный административный округ";"район Перово";"1-я Владимирская улица, дом 22, корпус 2";"(495) 309-01-06";"";"";"";"90543518";
54;"Общественный пункт охраны порядка Восточного административного округа № 76";"76";"Восточный административный округ";"район Перово";"Перовская улица, дом 33, корпус 1";"(499) 785-16-87";"";"";"";"90543519";
55;"Общественный пункт охраны порядка Восточного административного округа № 77";"77";"Восточный административный округ";"район Восточный";"улица 9 Мая, дом 12";"(499) 780-15-97";"";"";"";"90543520";
56;"Общественный пункт охраны порядка Восточного административного округа № 78";"78";"Восточный административный округ";"район Преображенское";"Буженинова улица, дом 22";"(495) 963-46-33";"";"";"";"90543521";
57;"Общественный пункт охраны порядка Восточного административного округа № 79";"79";"Восточный административный округ";"район Преображенское";"Просторная улица, дом 6";"(499) 162-12-74";"";"";"";"90543522";
58;"Общественный пункт охраны порядка Восточного административного округа № 80";"80";"Восточный административный округ";"район Преображенское";"Большая Черкизовская улица, дом 10, корпус 1";"(495) 963-50-23";"";"";"";"90543523";
59;"Общественный пункт охраны порядка Восточного административного округа № 81";"81";"Восточный административный округ";"район Преображенское";"Большая Черкизовская улица, дом 26, корпус 6";"(499) 161-21-04";"";"";"";"90543524";
60;"Общественный пункт охраны порядка Восточного административного округа № 82";"82";"Восточный административный округ";"район Преображенское";"Большая Черкизовская улица, дом 5/5";"(495) 963-76-93";"";"";"";"90543525";
