ROWNUM;Name;AdmArea;District;Address;PublicPhone;ExtraInfo;X_WGS;Y_WGS;GLOBALID;
1;"Штаб народной дружины района Хамовники";"Центральный административный округ";"район Хамовники";"улица Доватора, дом 3";"(499) 245-54-47";"ОПОП";"37.603824";"55.76984";"90541481";
2;"Штаб народной дружины района Бирюлево Восточное";"Южный административный округ";"район Бирюлёво Восточное";"Бирюлёвская улица, дом 21, корпус 1";"(495) 327-53-50";"квартира 1";"37.652737";"55.703894";"90541482";
3;"Штаб народной дружины района Бибирево";"Северо-Восточный административный округ";"район Бибирево";"улица Пришвина, дом 12, корпус 2";"(499) 207-01-10";"Управа, кабинет 326";"37.656578";"55.868664";"90541483";
4;"Штаб народной дружины Центрального административного округа";"Центральный административный округ";"Мещанский район";"Большой Сергиевский переулок, дом 9, строение 1";"(495) 621-46-69";"";"37.627093";"55.768478";"90541484";
5;"Штаб народной дружины района Арбат";"Центральный административный округ";"район Арбат";"Шубинский переулок, дом 6";"(499) 241-74-21";"ОПОП";"37.578184";"55.746625";"90541485";
6;"Штаб народной дружины района Басманный";"Центральный административный округ";"Басманный район";"улица Фридриха Энгельса, 37/41А";"(499) 261-62-13";"ОПОП";"37.686912";"55.775223";"90541486";
7;"Штаб народной дружины района Замоскворечье";"Центральный административный округ";"район Замоскворечье";"Большая Пионерская улица, дом 5, строение 1";"(499) 235-03-89";"ОПОП";"37.634536";"55.729145";"90541487";
8;"Штаб народной дружины района Красносельский";"Центральный административный округ";"Красносельский район";"Нижняя Красносельская улица, дом 21";"(499) 261-69-39";"ОПОП";"37.634536";"55.729145";"90541488";
9;"Штаб народной дружины района Пресненский";"Центральный административный округ";"Пресненский район";"Зоологическая улица, дом 50, строение 2";"";"";"37.586085";"55.76742";"90541490";
10;"Штаб народной дружины района Таганский";"Центральный административный округ";"Таганский район";"Марксистская улица, дом 5";"";"";"37.664888";"55.736907";"90541491";
11;"Штаб народной дружины района Тверской";"Центральный административный округ";"Тверской район";"Старопименовский переулок, дом 16";"(495) 699-35-32";"ОПОП";"37.664888";"55.736907";"90541492";
12;"Штаб народной дружины района Якиманка";"Центральный административный округ";"район Якиманка";"улица Крымский Вал, дом 8";"(499) 238-23-78";"ОПОП";"37.570647";"55.724552";"90541493";
13;"Штаб народной дружины Северного административного округа";"Северный административный округ";"район Ховрино";"улица Дыбенко, дом 18, корпус 1";"(495) 601-62-06";"";"37.608875";"55.731292";"90541494";
14;"Штаб народной дружины района Аэропорт";"Северный административный округ";"район Аэропорт";"улица Дыбенко, дом 18, корпус 1";"";"";"37.487007";"55.871818";"90541495";
