ROWNUM;CommonName;FullName;ShortName;ChiefOrgAdmArea;District;Address;ChiefName;ChiefPosition;PublicPhone;Fax;Email;WorkingHours;ClarificationOfWorkingHours;WebSite;OKPO;INN;NumberOfHalls;TotalSeatsAmount;X_WGS;Y_WGS;GLOBALID;
1;Кинотеатр «Искра»;Государственное бюджетное учреждение культуры города Москвы «Кинообъединение для детей и молодежи», Кинотеатр «Искра»;ГБУК г. Москвы «Кинообъединение», Кинотеатр «Искра»;Государственное бюджетное учреждение культуры города Москвы «Кинообъединение для детей и молодежи»;Северный административный округ;Тимирязевский район;улица Костякова, дом 10;Овсянникова Ирина Петровна;директор;"(495) 976-14-44; (495) 976-27-24";"(495) 976-14-44; (495) 976-27-24";kino-iskra@mail.ru;"понедельник 09:00-23:00; вторник 09:00-23:00; среда 09:00-23:00; четверг 09:00-23:00; пятница 09:00-23:00; суббота 09:00-23:00; воскресенье 09:00-23:00";;kino-iskra.ru;11603322;7713133648;2;120;37.571216;55.814405;87036569;
2;Кинотеатр «Полет»;Государственное бюджетное учреждение культуры города Москвы «Кинообъединение для детей и молодежи», Кинотеатр «Полет»;ГБУК г. Москвы «Кинообъединение» Кинотеатр «Полет»;Государственное бюджетное учреждение культуры города Москвы «Кинообъединение для детей и молодежи»;Северо-Западный административный округ;район Южное Тушино;Нелидовская улица, дом 10, строение 1;Давыдов Артём Патваканович;директор;(495) 492-81-25;(499) 492-81-25;info@polet-kino.ru;"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";;polet-kino.ru;18137188;7733031531;1;129;37.442913;55.846057;87036598;
3;Кинотеатр «Факел»;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Факел»;ГБУК г. Москвы «Московское кино», Кинотеатр «Факел»;Государственное бюджетное учреждение культуры города Москвы «Московское кино»;Юго-Восточный административный округ;район Лефортово;шоссе Энтузиастов, дом 15/16;Орестова Василиса Руслановна;директор;"(495) 362-12-19; (499) 369-77-82";"(499) 369-18-91; (499) 369-77-82";mos-kino@yandex.ru;"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";;mos-kino.ru;2375201;7719765428;1;98;37.716203;55.75179;87036591;
4;Кинотеатр «Сатурн»;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Сатурн»;ГБУК г. Москвы «Московское кино», Кинотеатр «Сатурн»;Государственное бюджетное учреждение культуры города Москвы «Московское кино»;Северо-Восточный административный округ;район Свиблово;Снежная улица, дом 18;Орестова Василиса Руслановна;директор;(495) 951-94-20;(495) 951-94-20;mos-kino@yandex.ru;"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";;mos-kino.ru;2375201;7719765428;1;500;37.647549;55.851975;87036584;
5;Кинотеатр «Космос»;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Космос»;ГБУК г.Москвы «Московское кино», Кинотеатр «Космос»;Государственное бюджетное учреждение культуры города Москвы «Московское кино»;Северо-Восточный административный округ;Останкинский район;проспект Мира, дом 109;Орестова Василиса Руслановна;директор;"(495) 687-46-69; (495) 687-53-63";;;"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";;mos-kino.ru;2375201;7719765428;1;600;37.63657;55.818688;93632223;
6;Кинотеатр «Березка»;Государственное бюджетное учреждение культуры города Москвы «Кинообъединение для детей и молодежи», Кинотеатр «Берёзка»;ГБУК г. Москвы «Кинообъединение», Кинотеатр «Березка»;Государственное бюджетное учреждение культуры города Москвы «Кинообъединение для детей и молодежи»;Восточный административный округ;район Новогиреево;Мартеновская улица, дом 25;Бармас Римма Борисовна;директор;(495) 302-03-62;(495) 302-03-62;kinoteatr.berezka@mail.ru;"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:30-22:00";;kinoberezka.ru;11588485;7720279207;2;393;37.802542;55.749856;87036594;
7;Кинотеатр «Тула»;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Тула»;ГБУК г. Москвы «Московское кино», Кинотеатр «Тула»;Государственное бюджетное учреждение культуры города Москвы «Московское кино»;Юго-Восточный административный округ;район Печатники;улица Кухмистерова, дом 4;Орестова Василиса Руслановна;директор;(495) 354-30-94;;mos-kino@yandex.ru;"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";;mos-kino.ru;2375201;7719765428;1;540;37.718515;55.685873;87036589;
8;Кинотеатр «Юность»;Государственное бюджетное учреждение культуры города Москвы «Кинообъединение для детей и молодежи», Кинотеатр «Юность»;ГБУК г. Москвы «Кинообъединение», Кинотеатр «Юность»;Государственное бюджетное учреждение культуры города Москвы «Кинообъединение для детей и молодежи»;Северо-Западный административный округ;район Щукино;улица Маршала Рыбалко, дом 1;Жуков Андрей Павлович;директор;(495) 194-02-75;(495) 194-02-75;kino-yunost@mail.ru;"понедельник 09:00-23:00; вторник 09:00-23:00; среда 09:00-23:00; четверг 09:00-23:00; пятница 09:00-23:00; суббота 09:00-23:00; воскресенье 09:00-23:00";;kino-junost.ru;14613918;7734257010;1;120;37.49533;55.795157;87036599;
9;Кинотеатр;Иллюзион;;;Центральный административный округ;Таганский район;Котельническая наб., д.1/15;;;(495) 915 43 39, 915 43 53;;;;;;;-1;-1;-1;37.642815;55.747068;85988577;
10;Кинотеатр;Пионер;;;Западный административный округ;район Дорогомилово;Кутузовский пр-т, д.21;;;(499) 240 52 40;;info@pioner-cinema.ru;;;pioner-cinema.ru;;-1;-1;-1;37.549915;55.744986;85988578;
