ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
1;"Государственное бюджетное образовательное учреждение города Москвы дом детского творчества «Рублево»";"121500 Набережная улица, 19";"Западный";"Кунцево";"Государственное";"Западное окружное управление образования";"Образовательное учреждение дополнительного образования детей";"Дом детского творчества";"(499) 727-10-85";"ddt-rublevo.mskzapad.ru";"ddtrublyovo@yandex.ru";"37,351635";"55,786937";"86887444";
2;"Государственное бюджетное образовательное учреждение города Москвы центр детского творчества ""Солнцево""";"119619, г. Москва, ул. Богданова, д. 56";"Западный";"Солнцево";"Государственное";"Западное окружное управление образования";"Образовательное учреждение дополнительного образования детей";"Центр";"433-33-69";"cdt-solncevo.mskzapad.ru";"cdt-solncevo@yandex.ru";"37,353995";"55,640431";"86887453";
3;"Государственное бюджетное образовательное учреждение города Москвы дворец творчества детей и молодежи";"101000 город Москва, переулок Огородная слобода, дом 6, стр. 1.";"Центральный";"Басманный";"Государственное";"Центральное окружное управление образования";"Образовательное учреждение дополнительного образования детей";"Дворец";"(495) 628-08-71; (495) 628-41-51; (495) 621-81-51; (495) 628-11-12; (495) 623-16-86; (495) 624-34-30; (495) 621-60-06; (495) 623-40-96; (495) 623-46-67; (495) 621-33-70";"na-stopani.dop.mskobr.ru";"ddstopan@couo.ru";"37,642402";"55,765252";"86887490";
4;"Государственное бюджетное образовательное учреждение Московский городской Дворец детского (юношеского) творчества";"119334 г. Москва, ул. Косыгина, д. 17";"Юго-Западный";"Гагаринский";"Государственное";"Городское подчинение: Управление воспитания и дополнительного образования";"Образовательное учреждение дополнительного образования детей";"Дворец";"137-73-88";"mgddut.dop.mskobr.ru";"mgddyt@yandex.ru";"37,551942";"55,702453";"86887586";
5;"Государственное бюджетное образовательное учреждение города Москвы центр детского творчества ""На Псковской""";"127253, г. Москва, ул. Псковская, дом 2, корп.3";"Северо-Восточный";"Лианозово";"Государственное";"Северо-Восточное окружное управление образования";"Образовательное учреждение дополнительного образования детей";"Центр";"(499) 209-21-74";"na-pskovckoy.dop.mskobr.ru/";"zdtpskovckay2k3@rambler.ru";"37,554693";"55,902128";"86887741";
6;"Государственное бюджетное образовательное учреждение города Москвы Детско-юношеский центр ""Виктория""";"117405, г. Москва, ул. Газопровод, д.4";"Южный";"Чертаново Южное";"Государственное";"Южное окружное управление образования";"Образовательное учреждение дополнительного образования детей";"Центр";"(499) 616-00-00; (499) 616-02-88";"viktoria.dop.mskobr.ru";"vikt@sinergi.ru";"37,654184";"55,677152";"86890341";
7;"Государственное бюджетное образовательное учреждение города Москвы центр творческого развития и гуманитарного образования ""Дар""";"119192, г.Москва, Мичуринский проспект, д. 40";"Западный";"Раменки";"Государственное";"Западное окружное управление образования";"Образовательное учреждение дополнительного образования детей";"Центр";"(495) 931-42-27; (495) 931-42-22";"<Null>";"ctrigo.dar@mail.ru";"37,493013";"55,696578";"86890345";
8;"Государственное бюджетное образовательное учреждение города Москвы Центр развития творчества детей и юношества ""Технорама на Юго-Востоке""";"109377, г. Москва, 12-я Новокузьминская улица, дом 6, корпус 2";"Юго-Восточный";"Рязанский";"Государственное";"Юго-Восточное окружное управление образования";"Образовательное учреждение дополнительного образования детей";"Центр";"(495) 379-63-47; (495) 379-69-34; (495) 379-92-30";"crtdu.dop.mskobr.ru";"mkb10f@gmail.com";"37,780348";"55,71464";"86893825";
9;"Государственное бюджетное образовательное учреждение города Москвы дворец творчества детей и молодежи";"125310, г. Москва, Ангелов переулок, д. 2, корп. 2";"Северо-Западный";"Митино";"Государственное";"Северо-Западное окружное управление образования";"Образовательное учреждение дополнительного образования детей";"Дворец";"(495) 497-20-00";"dtdim.dop.mskobr.ru/";"info@dt-ostrova.ru";"37,451403";"55,833694";"86904032";
10;"Государственное бюджетное образовательное учреждение города Москвы дворец творчества детей и молодежи ""Хорошево""";"123154, г. Москва, улица  Маршала Тухачевского, дом 20, корп. 1";"Северо-Западный";"Хорошево-Мневники";"Государственное";"Северо-Западное окружное управление образования";"Образовательное учреждение дополнительного образования детей";"Дворец";"(499) 197-51-23";"dtim.dop.mskobr.ru";"cdt@mail.ru";"37,479862";"55,783894";"86904033";
