ROWNUM;FullName;ShortName;AdmArea;District;PostalCode;Address;ChiefName;ChiefPosition;ChiefGender;ChiefPhone;PublicPhone;Fax;Email;CloseFlag;CloseReason;CloseDate;ReopenDate;WorkingHours;ClarificationOfWorkingHours;Specialization;BeneficialDrugPrescriptions;ExtraInfo;POINT_X;POINT_Y;GLOBALID;
1;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 1 филиал Психиатрической клинической больницы № 1 имени Н. А. Алексеева Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 1 филиал ПКБ № 1 им. Н. А. Алексеева ДЗМ";"Западный административный округ";"район Раменки";"119285";"Мосфильмовская улица, дом 6";"Голубев Сергей Александрович";"заведующий филиалом";"мужской";"(499) 143-49-20";"(499) 143-49-20; (499) 143-49-14";"(499) 143-49-20";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.52991";"55.724522";"85130956";
2;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 2 филиал Психиатрической клинической больницы № 1 имени Н. А. Алексеева Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 2 филиал ПКБ № 1 им. Н. А. Алексеева ДЗМ";"Центральный административный округ";"район Арбат";"129091";"Смоленская площадь, дом 13/21";"Штангаров Борис Львович";"заведующий филиалом";"мужской";"(499) 248-49-80";"(499) 248-79-35";"(499) 248-49-80";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.582271";"55.749576";"85130957";
3;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 3 филиал Психиатрической клинической больницы № 4 имени П. Б. Ганнушкина Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 3 филиал ПКБ № 4 им. П. Б. Ганнушкина ДЗМ";"Северо-Западный административный округ";"район Покровское-Стрешнево";"125362";"улица Циолковского, дом 5";"Фишер Людмила Рубеновна";"заведующий филиалом";"женский";"(495) 491-69-66";"(495) 491-69-44";"(495) 491-69-44";"info@pnd3.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.449883";"55.827807";"85130958";
4;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 4 филиал Психиатрической клинической больницы № 4 имени П. Б. Ганнушкина Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 4 филиал ПКБ № 4 им. П. Б. Ганнушкина ДЗМ";"Северный административный округ";"Головинский район";"125493";"Смольная улица, дом 5";"Прытова Елена Борисовна";"заведующий филиалом";"женский";"(495) 452-42-90";"(495) 452-51-11";"(495) 452-58-01";"info@pnd4.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.498299";"55.845439";"85130959";
5;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 5 филиал Психиатрической клинической больницы № 4 имени П. Б. Ганнушкина Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 5 филиал ПКБ № 4 им. П. Б. Ганнушкина ДЗМ";"Северный административный округ";"Тимирязевский район";"125422";"улица Костякова, дом 8/6";"Кумечко Вадим Михайлович";"заведующий филиалом";"мужской";"(499) 976-11-00";"(499) 976-15-92";"(499) 976-11-00";"info@pnd5.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.572073";"55.813047";"85130960";
6;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 7 филиал № 1 Психиатрической клинической больницы № 15 Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 7 филиал № 1 ПКБ № 15 ДЗМ";"Северо-Восточный административный округ";"Останкинский район";"129515";"улица Академика Королёва, дом 9, корпус 1";"Киреев Александр Николаевич";"заместитель главного врача";"мужской";"(495) 602-13-31";"(495) 602-13-32";"(495) 602-13-31";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.623847";"55.820935";"85130961";
7;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 8 филиал № 1 Психиатрической клинической больницы № 3 имени В. А. Гиляровского Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 8 филиал № 1 ПКБ № 3 им. В. А. Гиляровского ДЗМ";"Восточный административный округ";"район Богородское";"107258";"Игральная улица, дом 8, строение 7";"Гукасян Эвелина Омаровна";"заведующий филиалом";"женский";"(499) 169-61-85";"(499) 169-41-60";"(499) 169-40-00";"info@pnd8.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: м «Преображенская площадь», м. «ул. Подбельского», автобус № 80, автолайн 80 до остановки ""Универсам"".";"37.71392";"55.814607";"85130962";
8;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 9 филиал № 2 Психиатрической больницы № 3 имени В. А. Гиляровского Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 9 филиал № 2 ПБ № 3 им. В. А. Гиляровского ДЗМ";"Восточный административный округ";"район Соколиная Гора";"105275";"8-я улица Соколиной Горы, дом 28";"Холодова Елена Михайловна";"заведующий филиалом";"женский";"(495) 365-10-58";"(495) 365-15-36";"(499) 365-10-58";"info@pnd9.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: м. Шоссе Энтузиастов, м. Семеновская, далее авт. 141, 83, 36 до ост. ""Больница Соколиной горы""";"37.74336";"55.769776";"85130963";
9;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 10 филиал № 1 Психиатрической больницы № 14 Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 10 филиал № 1 ПБ № 14 ДЗМ";"Юго-Восточный административный округ";"Южнопортовый район";"109193";"улица Петра Романова, дом 2, корпус 1";"Аношенко Марина Ивановна";"заведующий филиалом";"женский";"(495) 679-39-55";"(495) 679-44-85";"(495) 679-38-00";"info@pnd10.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: м. «Кожуховская», далее 5 минут пешком.";"37.679391";"55.709758";"85130964";
10;"Государственное казенное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 11 филиал Городской психиатрической больницы № 13 Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 11 филиал № 1 ПБ № 13 ДЗМ";"Центральный административный округ";"Таганский район";"109029";"Средняя Калитниковская улица, дом 29";"Суетин Михаил Евгеньевич";"заведующий филиалом";"мужской";"(495) 911-17-34";"(495) 670-85-21";"(495) 670-85-18";"info@pnd11.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: метро «Пролетарская», далее 35 трамв. до остановки ""ул. Воловья"".";"37.689431";"55.735237";"85130965";
